Date	Open*	High	Low	Close**	Volume	Market Cap
Sep 03, 2022	$19,969.72	$20,037.01	$19,698.36	$19,832.09	$23,613,051,457	$379,595,440,557
Sep 02, 2022	$20,126.07	$20,401.57	$19,814.77	$19,969.77	$29,123,998,928	$382,212,933,184
Sep 01, 2022	$20,050.50	$20,198.39	$19,653.97	$20,127.14	$30,182,031,010	$385,208,305,832
Aug 31, 2022	$19,799.58	$20,420.99	$19,799.58	$20,049.76	$33,225,232,872	$383,710,102,295
Aug 30, 2022	$20,298.61	$20,542.64	$19,617.64	$19,796.81	$34,483,360,283	$378,850,670,474
Aug 29, 2022	$19,615.15	$20,357.46	$19,600.79	$20,297.99	$32,637,854,078	$388,422,039,679
Aug 28, 2022	$20,041.03	$20,139.05	$19,616.81	$19,616.81	$24,366,810,591	$375,367,382,008
Aug 27, 2022	$20,262.48	$20,340.77	$19,890.52	$20,041.74	$30,116,729,776	$383,478,483,269
Aug 26, 2022	$21,596.09	$21,804.91	$20,199.48	$20,260.02	$42,326,789,564	$387,636,192,941
Aug 25, 2022	$21,395.46	$21,789.64	$21,362.44	$21,600.91	$31,028,679,593	$413,267,825,941
Aug 24, 2022	$21,526.46	$21,783.08	$21,195.01	$21,395.02	$31,962,253,368	$409,308,514,098
Aug 23, 2022	$21,401.05	$21,646.20	$20,955.14	$21,528.09	$31,878,280,659	$411,833,237,128
Aug 22, 2022	$21,531.46	$21,531.46	$20,939.18	$21,398.91	$31,666,498,758	$409,340,103,013
Aug 21, 2022	$21,160.39	$21,668.85	$21,103.20	$21,534.12	$23,102,307,723	$411,906,673,576
Aug 20, 2022	$20,872.84	$21,350.81	$20,856.73	$21,166.06	$27,595,671,000	$404,848,126,556
Aug 19, 2022	$23,213.31	$23,213.31	$20,868.85	$20,877.55	$40,509,610,260	$399,309,311,306
Aug 18, 2022	$23,341.04	$23,563.83	$23,177.60	$23,212.74	$23,747,613,147	$443,947,256,036
Aug 17, 2022	$23,881.32	$24,407.06	$23,243.35	$23,336.00	$30,931,623,076	$446,283,604,020
Aug 16, 2022	$24,126.14	$24,228.42	$23,733.50	$23,883.29	$27,753,685,646	$456,730,745,423
Aug 15, 2022	$24,318.32	$25,135.59	$23,839.77	$24,136.97	$35,123,501,685	$461,560,003,437
Aug 14, 2022	$24,429.06	$24,974.91	$24,206.26	$24,319.33	$22,994,133,555	$465,024,405,299
Aug 13, 2022	$24,402.19	$24,860.05	$24,346.11	$24,424.07	$22,987,346,289	$467,007,252,129
Aug 12, 2022	$23,957.20	$24,412.57	$23,657.27	$24,402.82	$27,265,804,688	$466,578,839,478
Aug 11, 2022	$23,948.35	$24,822.63	$23,901.00	$23,957.53	$37,127,036,580	$458,043,109,398
Aug 10, 2022	$23,162.90	$24,127.41	$22,771.52	$23,947.64	$32,837,431,722	$457,833,729,142
Aug 09, 2022	$23,811.48	$23,898.62	$22,982.00	$23,164.32	$23,555,719,219	$442,835,162,483
Aug 08, 2022	$23,179.53	$24,203.69	$23,176.55	$23,809.49	$28,575,544,847	$455,148,536,624
Aug 07, 2022	$22,963.51	$23,359.01	$22,894.56	$23,175.89	$15,886,817,043	$443,014,963,855
Aug 06, 2022	$23,291.42	$23,326.56	$22,961.28	$22,961.28	$15,978,259,885	$438,890,198,161
Aug 05, 2022	$22,626.83	$23,422.83	$22,612.18	$23,289.31	$28,881,249,043	$445,137,234,252
Aug 04, 2022	$22,848.21	$23,198.01	$22,485.70	$22,630.96	$25,120,229,769	$432,532,599,007
Aug 03, 2022	$22,981.30	$23,578.65	$22,747.84	$22,846.51	$26,288,169,966	$436,633,304,289
Aug 02, 2022	$23,308.43	$23,415.04	$22,710.08	$22,978.12	$28,389,250,717	$439,128,030,642
Aug 01, 2022	$23,336.72	$23,464.79	$22,890.80	$23,314.20	$25,849,159,141	$445,527,356,896
Jul 31, 2022	$23,652.07	$24,121.64	$23,275.70	$23,336.90	$23,553,591,896	$445,941,074,223
Jul 30, 2022	$23,796.82	$24,572.58	$23,580.51	$23,656.21	$28,148,218,301	$452,020,722,099
